"Date","Price","Open","High","Low","Vol.","Change %"
"15-02-2024","15,330.00","15,040.00","15,568.00","14,900.00","2.80K","2.40%"
"14-02-2024","14,970.00","14,940.00","15,078.00","14,750.00","1.33K","0.48%"
"13-02-2024","14,898.00","14,742.00","15,080.00","14,456.00","1.81K","1.06%"
"12-02-2024","14,742.00","15,000.00","15,168.00","14,400.00","3.12K","-2.80%"
"09-02-2024","15,166.00","15,334.00","15,498.00","15,060.00","1.82K","-1.07%"
"08-02-2024","15,330.00","15,600.00","15,680.00","15,212.00","2.31K","-1.96%"
"07-02-2024","15,636.00","15,498.00","15,730.00","15,282.00","1.71K","0.67%"
"06-02-2024","15,532.00","15,900.00","15,950.00","15,400.00","2.35K","-1.56%"
"05-02-2024","15,778.00","15,614.00","15,900.00","14,818.00","5.28K","2.23%"
"02-02-2024","15,434.00","14,668.00","15,442.00","14,632.00","4.60K","5.94%"
"01-02-2024","14,568.00","14,054.00","14,638.00","13,952.00","3.47K","3.35%"
"31-01-2024","14,096.00","15,000.00","15,040.00","13,996.00","4.63K","-4.95%"
"30-01-2024","14,830.00","14,510.00","14,940.00","14,272.00","5.82K","-1.51%"
"29-01-2024","15,058.00","16,010.00","16,250.00","15,058.00","4.27K","-5.99%"
"25-01-2024","16,018.00","15,730.00","16,298.00","15,500.00","5.15K","1.33%"
"24-01-2024","15,808.00","15,966.00","16,170.00","15,630.00","6.34K","1.35%"
"23-01-2024","15,598.00","15,016.00","15,598.00","14,916.00","4.51K","5.99%"
"19-01-2024","14,716.00","13,890.00","14,716.00","13,850.00","5.43K","5.99%"
"18-01-2024","13,884.00","13,688.00","13,950.00","13,642.00","1.87K","1.21%"
"17-01-2024","13,718.00","13,940.00","14,036.00","13,552.00","2.20K","-1.28%"
"16-01-2024","13,896.00","13,660.00","13,978.00","13,600.00","2.34K","1.92%"
"15-01-2024","13,634.00","13,006.00","13,698.00","12,872.00","3.39K","5.38%"
"12-01-2024","12,938.00","13,050.00","13,088.00","12,650.00","1.49K","-0.90%"
"11-01-2024","13,056.00","13,284.00","13,300.00","12,966.00","1.29K","-1.08%"
"10-01-2024","13,198.00","13,346.00","13,346.00","13,110.00","1.14K","-1.08%"
"09-01-2024","13,342.00","13,010.00","13,448.00","12,840.00","2.72K","2.79%"
"08-01-2024","12,980.00","13,410.00","13,410.00","12,898.00","2.73K","-3.38%"
"05-01-2024","13,434.00","13,820.00","13,820.00","13,376.00","2.35K","-2.76%"
"04-01-2024","13,816.00","13,798.00","13,900.00","13,682.00","1.03K","0.45%"
"03-01-2024","13,754.00","14,090.00","14,090.00","13,632.00","2.52K","-2.55%"
"02-01-2024","14,114.00","14,144.00","14,186.00","13,900.00","1.22K","0.13%"
"01-01-2024","14,096.00","14,240.00","14,260.00","14,030.00","0.72K","-0.14%"
"29-12-2023","14,116.00","14,180.00","14,298.00","13,936.00","1.12K","-0.58%"
"28-12-2023","14,198.00","14,140.00","14,280.00","14,130.00","0.59K","0.41%"
"27-12-2023","14,140.00","14,222.00","14,312.00","14,002.00","0.93K","-0.98%"
"26-12-2023","14,280.00","14,250.00","14,488.00","14,130.00","1.38K","0.46%"
"22-12-2023","14,214.00","13,890.00","14,348.00","13,890.00","1.85K","1.78%"
"21-12-2023","13,966.00","14,026.00","14,150.00","13,866.00","1.35K","12.70%"
"20-12-2023","12,392.00","12,500.00","12,500.00","11,800.00","0.67K","1.04%"
"19-12-2023","12,264.00","12,348.00","12,348.00","12,200.00","0.13K","-2.04%"
"18-12-2023","12,520.00","12,702.00","12,702.00","12,334.00","0.55K","-3.48%"
"15-12-2023","12,972.00","12,816.00","13,100.00","12,720.00","0.69K","0.32%"
"14-12-2023","12,930.00","13,400.00","13,770.00","12,806.00","6.33K","-0.52%"
"13-12-2023","12,998.00","12,430.00","12,998.00","12,272.00","4.87K","5.98%"
"12-12-2023","12,264.00","12,290.00","12,424.00","12,186.00","1.53K","-0.57%"
"11-12-2023","12,334.00","12,510.00","12,650.00","12,310.00","2.42K","-1.75%"
"08-12-2023","12,554.00","12,550.00","12,750.00","12,502.00","2.66K","-0.46%"
"07-12-2023","12,612.00","12,624.00","12,784.00","12,550.00","2.26K","-1.75%"
"06-12-2023","12,836.00","12,750.00","12,928.00","12,720.00","1.50K","1.58%"
"05-12-2023","12,636.00","12,342.00","12,750.00","12,150.00","2.86K","2.17%"
"04-12-2023","12,368.00","12,820.00","12,858.00","12,294.00","2.98K","-1.76%"
